URL;CATEGORIA
http://alghaimindenisbeau.wixsite.com/teamsworks;Phishing
http://alghaimingroup.wixsite.com/my-site;Phishing
http://alghaimingroup0.wixsite.com/my-site;Phishing
http://alghaimingroup9.wixsite.com/my-site;Phishing
http://api.whatsapp.com/send?phone=13476295092;Phishing
http://api.whatsapp.com/send?phone=16194139072;Phishing
http://apt1.wufoo.com/forms/utpl-office-365;Business and Economy
http://bit.ly/3HwkhH6;Phishing
http://bit.ly/3MwnRDd;Phishing
http://burself2020.wixsite.com/uttpl;Phishing
http://correos-postale.nl/si-postal/*;Phishing
http://descender.mx/sync/outlook.php;Phishing
http://disneylatino.com/*;Shopping
http://drive.google.com/file/d/12_B6vH54C0MOCUvr1L8aEo9m1fRIwiYF/view?usp=sharing;Phishing
http://eduec9.wixsite.com/mysite;Phishing
http://firebasestorage.googleapis.com/v0/b/uuyrwwewe.appspot.com/o/index.html?alt=media&token=c0760391-c6c9-4188-9a70-eacfb1bd5811;Phishing
http://fom.li/f/aDWPwDKqW5;Phishing
http://gaming.amazon.com/intro;Shopping
http://helputpleduecxxxhlpdsk.weebly.com/*;Shopping
http://hjuiobopde-ptezd.formstack.com/forms/ve;Business and Economy
http://ingresodeusuarios.mobi:2600/;Phishing
http://magistv.net/app.html;Streaming Media
http://microsoftnett.webcindario.com/*;Phishing
http://mscloud-l.webcindario.com/*;Phishing
http://msonline365-m4y5bv2sdbzz3p.paques.org:8443/impact?XoXoXo4230309=csirt@utpl.edu.ec;Phishing
http://na01.safelinks.protection.outlook.com/*;Phishing
http://netflix.com/ec/*;Streaming Media
http://new.express.adobe.com/webpage/exOEYVUzJ3rMQ;Phishing
http://pelisplushd.net/*;Streaming Media
http://poki.com/es;Games
http://rimac.com.br/hjem/Heimat/index.php;Business and Economy
http://saibhyastudio.com/sri/*;Phishing
http://sites.google.com/view/utplsteps;Phishing
http://sts-utpl-edu-ec-adfs.weebly.com/*;Phishing
http://uptl.squarespace.com/*;Phishing
http://utp119478949.weebly.com/*;Phishing
http://utp64675476.weebly.com/*;Phishing
http://utp663563736863.weebly.com/*;Phishing
http://utpl.squarespace.com/*;Phishing
http://utpledu.weebly.com/*;Phishing
http://utpl-edu-ec.onthehub.com/*;Phishing
http://utpleduec1.wixsite.com/eduec;Phishing
http://utpleduec11.wixsite.com/eduec;Phishing
http://utplutpl220.wixsite.com/utpl;Phishing
http://utplutpl22022.wixsite.com/utpl;Phishing
http://verificar.correosdelecuador.gob.c2171574.ferozo.com/portal/70cba/*;Phishing
http://wa.me/447361624301;Phishing
http://wa.me/message/RYGMP27KQH64K1;Phishing
http://www.1001juegos.com/*;Games
http://www.amazon.com/-/es/b?ie=UTF8&node=15195001011;Shopping
http://www.amazongames.com/es-es/games;Games
http://www.directvgo.com/ec/*;Business and Economy
http://www.disneyplus.com/*;Streaming Media
http://www.disneyplus.com/es-ec;Streaming Media
http://www.hbo.com/*;Shopping
http://www.hbomax.com/;Streaming Media
http://www.hbomax.com/*;Streaming Media
http://www.hulu.com/welcome;Streaming Media
http://www.juegos.com/*;Games
https://www.netflix.com/*;Streaming Media
http://www.netflix.com/ec/*;Streaming Media
http://www.porno.com/*;Streaming Media
http://www.primevideo.com/;Streaming Media
http://www.primevideo.com/*;Streaming Media
http://www.verif22.com/*;Phishing
https://actualizar-ec.squarespace.com/*;Phishing
https://afluxe.ga;Phishing
https://alghaimindenisbeau.wixsite.com/teamsworks;Phishing
https://alghaimingroup.wixsite.com/my-site;Phishing
https://alghaimingroup0.wixsite.com/my-site;Phishing
https://alghaimingroup9.wixsite.com/my-site;Phishing
https://api.whatsapp.com/send?phone=13476295092;Phishing
https://bit.ly/3HwkhH6;Phishing
https://burself2020.wixsite.com/uttpl;Phishing
https://correos-postale.nl/si-postal/*;Phishing
